knob,arm,section,branch,stage_m_msl,above_attainable_max,p_f_baseline,p_f_arm,ratio_arm_to_baseline,anchor,p_f_trans_baseline_at_stage
z_toe,ztoe_minus0.30m,KP57.4,static,42.5,False,0.99066,0.99578,1.005168,,0.86255
z_toe,ztoe_minus0.30m,KP57.4,static,42.75,False,0.99507,0.99765,1.002593,,0.89857
z_toe,ztoe_minus0.30m,KP57.4,static,43.0,False,0.99735,0.99865,1.001303,,0.92403
z_toe,ztoe_minus0.30m,KP57.4,static,43.25,False,0.9985,0.99921,1.000711,grid_top,0.94361
z_toe,ztoe_plus0.30m,KP57.4,static,34.75,False,0.0,0.0,,,0.0
z_toe,ztoe_plus0.30m,KP57.4,static,36.5,False,0.0,0.0,,,0.0
z_toe,ztoe_plus0.30m,KP57.4,static,38.0,False,0.0,0.0,,,0.0
z_toe,ztoe_plus0.30m,KP57.4,static,38.5,False,0.0,0.0,,,0.0
z_toe,ztoe_plus0.30m,KP57.4,static,38.75,False,0.0,0.0,,,0.0
z_toe,ztoe_plus0.30m,KP57.4,static,39.0,False,0.0,0.0,,,0.0
z_toe,ztoe_plus0.30m,KP57.4,static,39.25,False,0.00051,0.0,,design_hwl,0.0
z_toe,ztoe_plus0.30m,KP57.4,static,39.5,False,0.0085,0.0002,0.023529,lowest_reachable,0.00014
z_toe,ztoe_plus0.30m,KP57.4,static,39.75,False,0.04729,0.00557,0.117784,rising_limb,0.00295
z_toe,ztoe_plus0.30m,KP57.4,static,40.0,False,0.14186,0.03553,0.250458,,0.01809
z_toe,ztoe_plus0.30m,KP57.4,static,40.25,False,0.28936,0.11845,0.409352,,0.06005
z_toe,ztoe_plus0.30m,KP57.4,static,40.5,False,0.45986,0.25629,0.557322,,0.13377
z_toe,ztoe_plus0.30m,KP57.4,static,40.75,False,0.61922,0.42544,0.687058,,0.2382
z_toe,ztoe_plus0.30m,KP57.4,static,41.0,False,0.74928,0.59002,0.787449,,0.35726
z_toe,ztoe_plus0.30m,KP57.4,static,41.25,False,0.84239,0.72644,0.862356,transition_midpoint,0.4773
z_toe,ztoe_plus0.30m,KP57.4,static,41.5,False,0.90562,0.82632,0.912436,,0.58726
z_toe,ztoe_plus0.30m,KP57.4,static,41.75,False,0.9457,0.89528,0.946685,,0.6799
z_toe,ztoe_plus0.30m,KP57.4,static,42.0,False,0.96905,0.93929,0.96929,,0.75624
z_toe,ztoe_plus0.30m,KP57.4,static,42.25,False,0.98277,0.96526,0.982183,,0.81677
z_toe,ztoe_plus0.30m,KP57.4,static,42.5,False,0.99066,0.98069,0.989936,,0.86255
z_toe,ztoe_plus0.30m,KP57.4,static,42.75,False,0.99507,0.98943,0.994332,,0.89857
z_toe,ztoe_plus0.30m,KP57.4,static,43.0,False,0.99735,0.9944,0.997042,,0.92403
z_toe,ztoe_plus0.30m,KP57.4,static,43.25,False,0.9985,0.99711,0.998608,grid_top,0.94361
z_toe,ztoe_minus0.30m,KP58.8,static,36.5,False,0.0,0.0,,,0.0
z_toe,ztoe_minus0.30m,KP58.8,static,37.5,False,0.0,0.0,,,0.0
z_toe,ztoe_minus0.30m,KP58.8,static,38.25,False,0.0,0.0,,,0.0
z_toe,ztoe_minus0.30m,KP58.8,static,38.75,False,0.0,0.0,,,0.0
z_toe,ztoe_minus0.30m,KP58.8,static,39.0,False,0.0,3e-05,,,0.0
z_toe,ztoe_minus0.30m,KP58.8,static,39.25,False,1e-05,0.00141,141.0,,0.0
z_toe,ztoe_minus0.30m,KP58.8,static,39.5,False,0.00074,0.01428,19.297297,,0.0
z_toe,ztoe_minus0.30m,KP58.8,static,39.75,False,0.00979,0.06385,6.521961,lowest_reachable,0.00011
z_toe,ztoe_minus0.30m,KP58.8,static,40.0,False,0.04979,0.16802,3.374573,rising_limb,0.00241
z_toe,ztoe_minus0.30m,KP58.8,static,40.25,False,0.14277,0.31953,2.238075,,0.01453
z_toe,ztoe_minus0.30m,KP58.8,static,40.5,False,0.28634,0.48553,1.695642,,0.04827
z_toe,ztoe_minus0.30m,KP58.8,static,40.75,False,0.45217,0.63705,1.408873,,0.10943
z_toe,ztoe_minus0.30m,KP58.8,static,41.0,False,0.60913,0.75953,1.24691,design_hwl,0.19736
z_toe,ztoe_minus0.30m,KP58.8,static,41.25,False,0.73872,0.84797,1.147891,,0.30279
z_toe,ztoe_minus0.30m,KP58.8,static,41.5,False,0.83275,0.90806,1.090435,,0.4124
z_toe,ztoe_minus0.30m,KP58.8,static,41.75,False,0.8981,0.94618,1.053535,transition_midpoint,0.51725
z_toe,ztoe_minus0.30m,KP58.8,static,42.0,False,0.94018,0.96886,1.030505,,0.61331
z_toe,ztoe_minus0.30m,KP58.8,static,42.25,False,0.96513,0.98242,1.017915,,0.69305
