river,bank,kp,mechanism,scenario,stage_m_msl,p_f
Satsunai,left,4.4,fluvial_scour,plus4K,36.8,0
Satsunai,left,4.4,overflow,plus4K,37,0
Satsunai,left,4.4,fluvial_scour,plus4K,37,0
Satsunai,left,4.4,overflow,plus4K,37.2,0
Satsunai,left,4.4,fluvial_scour,plus4K,37.2,0
Satsunai,left,4.4,overflow,plus4K,37.4,0
Satsunai,left,4.4,fluvial_scour,plus4K,37.4,0
Satsunai,left,4.4,overflow,plus4K,37.6,0
Satsunai,left,4.4,fluvial_scour,plus4K,37.6,0
Satsunai,left,4.4,overflow,plus4K,37.8,0
Satsunai,left,4.4,fluvial_scour,plus4K,37.8,0
Satsunai,left,4.4,overflow,plus4K,38,0
Satsunai,left,4.4,fluvial_scour,plus4K,38,0
Satsunai,left,4.4,overflow,plus4K,38.2,0
Satsunai,left,4.4,fluvial_scour,plus4K,38.2,0
Satsunai,left,4.4,overflow,plus4K,38.4,0
Satsunai,left,4.4,fluvial_scour,plus4K,38.4,0
Satsunai,left,4.4,overflow,plus4K,38.6,0
Satsunai,left,4.4,fluvial_scour,plus4K,38.6,0
Satsunai,left,4.4,overflow,plus4K,38.8,0
Satsunai,left,4.4,fluvial_scour,plus4K,38.8,0
Satsunai,left,4.4,overflow,plus4K,39,0
Satsunai,left,4.4,fluvial_scour,plus4K,39,0
Satsunai,left,4.4,overflow,plus4K,39.2,0
